No,model,dataset,acc_val,acc,'airliner','bicycle','Border collie','cup','dining table','elephant','folding chair','golden retriever','military plane','minibus','Persian cat','school_bus','speedboat','tabby cat','yawl'
39,resnet50_finetuning_8_2,test,0.0,0.953,0.877,0.989,0.954,0.966,0.969,0.981,0.919,0.946,0.927,0.966,0.908,0.989,0.927,0.989,0.988,,,,,,,,,,,,,,,
40,resnet50_finetuning_8_2,very_dark,0.0,0.668,0.498,0.854,0.602,0.705,0.732,0.648,0.573,0.433,0.571,0.759,0.352,0.92,0.766,0.847,0.764,,,,,,,,,,,,,,,
41,resnet50_finetuning_7_3,,0.8872422575950623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
42,resnet50_finetuning_7_3,Dark_test,0.0,0.789,0.636,0.881,0.774,0.808,0.709,0.847,0.812,0.739,0.663,0.847,0.743,0.805,0.847,0.831,0.905,,,,,,,,,,,,,,,
43,resnet50_finetuning_7_3,test,0.0,0.959,0.92,0.977,0.969,0.985,0.9,0.985,0.981,0.954,0.912,0.95,0.958,0.969,0.969,0.969,0.983,,,,,,,,,,,,,,,
44,resnet50_finetuning_7_3,very_dark,0.0,0.745,0.613,0.824,0.701,0.774,0.701,0.766,0.785,0.693,0.609,0.816,0.713,0.755,0.805,0.77,0.864,,,,,,,,,,,,,,,
45,resnet50_finetuning_6_4,,0.8672680258750916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
46,resnet50_finetuning_6_4,Dark_test,0.0,0.803,0.747,0.889,0.828,0.858,0.824,0.808,0.719,0.805,0.728,0.858,0.632,0.789,0.874,0.797,0.901,,,,,,,,,,,,,,,
47,resnet50_finetuning_6_4,test,0.0,0.96,0.958,0.977,0.954,0.969,0.931,0.981,0.946,0.977,0.95,0.946,0.927,0.958,0.966,0.981,0.975,,,,,,,,,,,,,,,
48,resnet50_finetuning_6_4,very_dark,0.0,0.757,0.728,0.866,0.797,0.797,0.824,0.724,0.638,0.743,0.701,0.789,0.571,0.736,0.843,0.743,0.855,,,,,,,,,,,,,,,
49,resnet50_finetuning_10_0,ds_aug2,0.0,0.69,0.762,0.755,0.716,0.782,0.728,0.816,0.573,0.713,0.552,0.682,0.598,0.762,0.621,0.456,0.843,,,,,,,,,,,,,,,
50,resnet50_finetuning_10_0,ds_aug3,0.0,0.229,0.234,0.092,0.08,0.245,0.33,0.602,0.131,0.126,0.444,0.13,0.398,0.161,0.153,0.046,0.269,,,,,,,,,,,,,,,
51,resnet50_finetuning_9_1,ds_aug1,0.0,0.782,0.824,0.816,0.824,0.847,0.835,0.9,0.688,0.812,0.659,0.755,0.69,0.828,0.755,0.602,0.897,,,,,,,,,,,,,,,
